nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review	nps_review_en
9	2023-06-11 0:00:00	2023-06-12 0:00:00	2023-06-12 1:04:16	iOS	10111686471706115	Bobobox Tanah Abang	Earth Single	Ok banget	Ok
9	2023-06-10 23:00:00	2023-06-11 23:00:00	2023-06-12 1:03:35	iOS	10231686397047518	Bobocabin Kintamani 	Deluxe Cabin	tempatnya bagus, tenang, nyaman.	The place is good, calm, comfortable.
9	2023-06-11 0:00:00	2023-06-12 0:00:00	2023-06-12 0:35:32	Android	10261686397587252	Bobocabin Baturraden	DELUXE CABIN	OKOK	REASONS
10	2023-05-31 0:00:00	2023-06-01 0:00:00	2023-06-11 17:54:34	iOS	10041685503006870	Bobobox Pancoran	Earth Double	Please improve staff to be more active and diligent 	Please improve staff to be more active and diligent 
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-11 16:02:58	iOS	10141686316703874	Bobobox Slamet Riyadi Solo	Sky Double	nice	nice
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 15:30:00	Android	10241685981041877	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Semuanya enak dari kamar dan suasananya + pelayananya mantap ramah" Semua.  Minus tidak ada TV dan kaca di dalam kamar ❤  Next bakal balik lagi. Sukses terus bobocabin	Everything is delicious from the room and the atmosphere + the servant is great "all. Minus there is no TV and glass in the room ❤ Next will come back again. Success continues Bobocabin
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 13:13:53	Android	10271684980744618	Bobocabin Padusan	DELUXE CABIN	Lebih dijaga kebersihannya	More maintained its cleanliness
9	2023-05-11 0:00:00	2023-05-12 0:00:00	2023-06-11 8:58:00	iOS	10091683798415659	Bobobox Kota Lama	Earth Double	love this place	love this place
10	2023-05-29 0:00:00	2023-05-30 0:00:00	2023-06-11 8:57:37	iOS	10091685356772659	Bobobox Kota Lama	Earth Double	recommended	recommended
8	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-11 7:08:50	Android	10001685502274320	Bobobox Paskal	SKY DOUBLE	Colokan tuk charger hp hanya ada 1 colokan di pod 27 kamar sky double. Tuk lainnya sih aman, bersih, nyaman.	Plugs for HP charger there is only 1 plug on POD 27 Sky Double Rooms. The others are safe, clean, comfortable.
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 7:07:06	Android	10071685499274712	Bobobox Alun-Alun Bandung	SKY DOUBLE	Stop kontak tuk charger hp agak error di pod 35, mohon diperbaiki. Makasih tuk lainnya bagus & nyaman.	Stop contacts for the HP charger a little error in POD 35, please fix it. Thanks for others good & comfortable.
10	2023-06-01 0:00:00	2023-06-02 0:00:00	2023-06-11 7:04:13	iOS	10181685609725124	Bobobox Mega Bekasi	Sky Double	goodjob	goodjob
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:52:51	Android	10121686368580945	Bobobox Juanda Jakarta	SKY DOUBLE	Great	Great
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:36:09	Android	10171685778173908	Bobocabin Ranca Upas	STANDARD CABIN	Terima kasih banyak semuanya kamar bersih dan wangi, next time kembali lagi kesini. Terima kasih juga buat kang Asep yang handle check in pelayanannya mantap banget. Terima kasih banyak semuanya sangat membantu banget. See you	Thank you very much, all the rooms are clean and fragrant, next time come back here. Thank you also to Kang Asep who handle check in the service is very great. Thank you very much everything is very helpful. See you
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:33:33	Android	10171685776728614	Bobocabin Ranca Upas	STANDARD CABIN	Terima kasih banyak atas pelayanannya, terutama kang Asep pas check in dibantu dijelaskan fitur" nya, soalnya baru pertama kali stay di bobocabin, dan terima kasih juga atas pelayanan kang Dede sangat membantu kami, kamarnya wangi dan bersih, next time saya staycation disini lagi. Terima kasih banyak	Thank you very much for the service, especially Kang Asep Pas Check In assisted by the features "The feature is explained, because it's the first time staying at Bobocabin, and thank you also for Kang Dede's service really helps us, the room is fragrant and clean, next time I stay here again. Thank you very much
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:24:30	Android	10091686148065364	Bobobox Kota Lama	SKY SINGLE	So comfort and modern	So comfort and modern
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:15:45	iOS	10241685969031977	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Air shower kecil	Small shower water
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:10:04	iOS	10191685806438115	Bobocabin Cikole	Standard Cabin	Airnya suka mati, mungkin bisa diinfokan kalau mau mati 	The water likes to die, maybe it can be informed if you want to die
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:09:46	Android	10271686138638641	Bobocabin Padusan	DELUXE CABIN	nice and unique experience with pine forest ambience. however need to improve on the slow wifi and coziness of pillow and mattress	nice and unique experience with pine forest ambience. however need to improve on the slow wifi and coziness of pillow and mattress
