nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review
9	2023-06-11 0:00:00	2023-06-12 0:00:00	2023-06-12 1:04:16	iOS	10111686471706115	Bobobox Tanah Abang	Earth Single	Ok banget
9	2023-06-10 23:00:00	2023-06-11 23:00:00	2023-06-12 1:03:35	iOS	10231686397047518	Bobocabin Kintamani 	Deluxe Cabin	tempatnya bagus, tenang, nyaman.
9	2023-06-11 0:00:00	2023-06-12 0:00:00	2023-06-12 0:35:32	Android	10261686397587252	Bobocabin Baturraden	DELUXE CABIN	OKOK
10	2023-05-31 0:00:00	2023-06-01 0:00:00	2023-06-11 17:54:34	iOS	10041685503006870	Bobobox Pancoran	Earth Double	Please improve staff to be more active and diligent 
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-11 16:02:58	iOS	10141686316703874	Bobobox Slamet Riyadi Solo	Sky Double	nice
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 15:30:00	Android	10241685981041877	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Semuanya enak dari kamar dan suasananya + pelayananya mantap ramah" Semua.  Minus tidak ada TV dan kaca di dalam kamar ❤  Next bakal balik lagi. Sukses terus bobocabin
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 13:13:53	Android	10271684980744618	Bobocabin Padusan	DELUXE CABIN	Lebih dijaga kebersihannya
9	2023-05-11 0:00:00	2023-05-12 0:00:00	2023-06-11 8:58:00	iOS	10091683798415659	Bobobox Kota Lama	Earth Double	love this place
10	2023-05-29 0:00:00	2023-05-30 0:00:00	2023-06-11 8:57:37	iOS	10091685356772659	Bobobox Kota Lama	Earth Double	recommended
8	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-11 7:08:50	Android	10001685502274320	Bobobox Paskal	SKY DOUBLE	Colokan tuk charger hp hanya ada 1 colokan di pod 27 kamar sky double. Tuk lainnya sih aman, bersih, nyaman.
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 7:07:06	Android	10071685499274712	Bobobox Alun-Alun Bandung	SKY DOUBLE	Stop kontak tuk charger hp agak error di pod 35, mohon diperbaiki. Makasih tuk lainnya bagus & nyaman.
10	2023-06-01 0:00:00	2023-06-02 0:00:00	2023-06-11 7:04:13	iOS	10181685609725124	Bobobox Mega Bekasi	Sky Double	goodjob
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:52:51	Android	10121686368580945	Bobobox Juanda Jakarta	SKY DOUBLE	Great
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:36:09	Android	10171685778173908	Bobocabin Ranca Upas	STANDARD CABIN	Terima kasih banyak semuanya kamar bersih dan wangi, next time kembali lagi kesini. Terima kasih juga buat kang Asep yang handle check in pelayanannya mantap banget. Terima kasih banyak semuanya sangat membantu banget. See you
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:33:33	Android	10171685776728614	Bobocabin Ranca Upas	STANDARD CABIN	Terima kasih banyak atas pelayanannya, terutama kang Asep pas check in dibantu dijelaskan fitur" nya, soalnya baru pertama kali stay di bobocabin, dan terima kasih juga atas pelayanan kang Dede sangat membantu kami, kamarnya wangi dan bersih, next time saya staycation disini lagi. Terima kasih banyak
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:24:30	Android	10091686148065364	Bobobox Kota Lama	SKY SINGLE	So comfort and modern
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:15:45	iOS	10241685969031977	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Air shower kecil
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:10:04	iOS	10191685806438115	Bobocabin Cikole	Standard Cabin	Airnya suka mati, mungkin bisa diinfokan kalau mau mati 
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:09:46	Android	10271686138638641	Bobocabin Padusan	DELUXE CABIN	nice and unique experience with pine forest ambience. however need to improve on the slow wifi and coziness of pillow and mattress
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:07:52	Android	10271686300018861	Bobocabin Padusan	DELUXE CABIN	Bagus hanya saja akses jalan di bobocabin yg bergeronjal. Dan di depan teras yg material nya batu sehingga sakit di kaki ketika berjalan. Kebetulan saya tidak memakai sandal yg empuk.
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:05:51	iOS	10241685930798961	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Sayang kamar mandinya ada bau kurang sedap, sisanya oke..
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:05:23	Android	10111686417577254	Bobobox Tanah Abang	SKY DOUBLE	Nyaman bersih rapi
6	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:03:19	iOS	10211685898164041	Bobobox Alun-Alun Malang	Sky Double	there a lot of stain on bedsheet
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 5:01:48	Android	10251683022652416	Bobocabin Coban Rondo Malang	EXECUTIVE CABIN	Best view
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:58:44	Android	10251686312740740	Bobocabin Coban Rondo Malang	DELUXE CABIN WITH VIEW	The best
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:58:13	Android	10251686312740740	Bobocabin Coban Rondo Malang	DELUXE CABIN WITH VIEW	The best
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:57:32	Android	10241685595441164	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Air hangatnya di bykin, jendelanya benerin, sediain galon, speakernya kurang gede suaranya dan tolong sediain tv
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:56:45	Android	10251686312740740	Bobocabin Coban Rondo Malang	DELUXE CABIN WITH VIEW	The best
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:54:50	Android	10211686064243206	Bobobox Alun-Alun Malang	SKY SINGLE	Tempat yg cukup nyaman dan memberikan pengalaman baru dengan modernisasinya
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:54:22	Android	10141686322134340	Bobobox Slamet Riyadi Solo	SKY DOUBLE	Seruu
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:52:06	iOS	10061686230460123	Bobobox Kebayoran Baru	Earth Single	Nyaman
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:48:59	Android	10261686094149664	Bobocabin Baturraden	EXECUTIVE CABIN	Mantaabbbbb
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:47:42	iOS	10241685700259222	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Kurang luas kamar nyaa,,, tp okelaah
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:46:48	Android	10201686390819761	Bobocabin Signature Toba	DELUXE CABIN	U
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:46:43	Android	10271686306575588	Bobocabin Padusan	DELUXE CABIN	Thanks all the best
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:37:39	iOS	10061686365801876	Bobobox Kebayoran Baru	Sky Double	Good
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:36:59	Android	10241685971898952	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Next harga room include dgn breakfast... Asli keren pas wkt mlm dingin banget. Segera buka tempat minum kopi... Caffe.... sukses selalu...
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:35:01	Android	10351686307965539	Bobocabin Madasari Pangandaran	EXECUTIVE CABIN	Untuk cabinnya nyaman, indah, view langsung ke pantai cuman kurang penerangan mulai dari gerbang masuk
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:30:18	iOS	10031686322389456	Bobobox Dago	Sky Double	As always i choose bobobox 
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:29:22	iOS	10241684153341493	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Staycation disini menyenangkan, bbq oke, petugasnya baik dan ramah, view di cabin 4 tidak mengecewakan. Cuma jaringan kurang bagus dan wifi putus nyambung. Selain itu udah oke banget. Kalo pake springbed dan water heaternya bisa tahan lama much better. Sarannya di tempat sampah dikasih plastik biar lebih higienis dan yang bersihin gampang. Next time bisa kesini lagi
10	2023-05-18 0:00:00	2023-05-19 0:00:00	2023-06-11 4:29:02	Android	10081684395155580	Bobobox Kota Tua	SKY DOUBLE	Good
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:28:42	Android	10081686240036281	Bobobox Kota Tua	SKY DOUBLE	Good
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:25:54	iOS	1.00717E+16	Bobobox Alun-Alun Bandung	Sky Double	really enjoy the trip
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:23:11	iOS	10091686395493765	Bobobox Kota Lama	Earth Double	pelayanan ramah, toilet juga bersih, recomend kalo mau nginep di semarang
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 4:18:46	iOS	10241685442913540	Bobocabin Puncak Gunung Mas	Executive Cabin	Nyaman unutk kamu mager, susannya enak buat healing. Tp yg kurang gak ad kopi sma lemari pendingin aja sii. So far, all good.
0	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:59:41	iOS	10231686380023954	Bobocabin Kintamani 	Deluxe Cabin	Messed up lighting system, cant off properly. Door lock not working properly. Not worth the price 
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:57:06	Android	10031686367761648	Bobobox Dago	EARTH DOUBLE	Ok
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:56:01	iOS	10001686321797041	Bobobox Paskal	Earth Double	Aku suka lampu dan teknologinya Cuman agak bau aja kamarnya But sofar ok
7	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:53:51	Android	10001686408812670	Bobobox Paskal	SKY DOUBLE	Bau
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:52:27	Android	10241684050638754	Bobocabin Puncak Gunung Mas	DELUXE CABIN	Perlu di tambahkan sendok untuk nagdum teh di setiap cabin
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:37:19	Android	1.01317E+16	Bobobox Malioboro	EARTH DOUBLE	Good service
8	2023-06-09 23:00:00	2023-06-10 23:00:00	2023-06-11 3:33:11	iOS	10231686380884863	Bobocabin Kintamani 	Deluxe Cabin Hot Tub	Hot Tub di Cabin no 2 tidak bisa digunakan. Mohon diperbaiki
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:25:42	iOS	10351686280752605	Bobocabin Madasari Pangandaran	Deluxe Cabin	Love in place,,amazing,,
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:24:51	iOS	10191682503935953	Bobocabin Cikole	Executive Cabin	Bed material is itchy
9	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 3:15:39	Android	10061686387144815	Bobobox Kebayoran Baru	SKY DOUBLE	Tidak diberikan air minum
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:59:00	iOS	10061686405265382	Bobobox Kebayoran Baru	Sky Double	Ok
8	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:53:46	iOS	10141686073019351	Bobobox Slamet Riyadi Solo	Earth Double	Toilet can be cleaner especially the shower room walls Music in the common area was played loudly until 12am, door of the pods area were open too so it was a bit noisy from inside Thankfully the host was very prompt and turned the music off immediately A bit of time to wait for the hot water  Overall it was a pleasant stay, comfy bed and pillow. Clean pod The whole area smells nice
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:44:45	Android	10121686209816196	Bobobox Juanda Jakarta	EARTH DOUBLE	Thank you
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:39:10	Android	10231686361237962	Bobocabin Kintamani 	DELUXE CABIN	Semoga aksesnya diperbaiki. Selebihnya sudah oke banget. Ga ada masalah dengan insects..masih bearable😊
9	2023-06-09 0:00:00	2023-06-11 0:00:00	2023-06-11 2:24:28	iOS	10221684290521159	Bobobox ITC Kuningan	Sky Double	Bed abit dusty  Toilet is clean Location is good, near to lotte mall Will come back again
10	2023-06-10 0:00:00	2023-06-11 0:00:00	2023-06-11 2:06:35	Android	10061686403384809	Bobobox Kebayoran Baru	SKY DOUBLE	Best
10	2023-06-09 0:00:00	2023-06-10 0:00:00	2023-06-11 1:05:24	Android	10271686239131178	Bobocabin Padusan	EXECUTIVE CABIN	Nice facilities
