nps_score,checkin_date,checkout_date,created_at,source,order_id,hotel_name,pod_type,nps_review,nps_review_en,score_classification,hotel_type,preprocessed_review_en,Sentiment,Compound Score
9,2023-06-11 0:00:00,2023-06-12 0:00:00,2023-06-12 1:04:16,iOS,1.0111686471706116e+16,Bobobox Tanah Abang,Earth Single,Ok banget,Ok,Positif,Bobobox,ok,Positive,0.296
9,2023-06-10 23:00:00,2023-06-11 23:00:00,2023-06-12 1:03:35,iOS,1.0231686397047518e+16,Bobocabin Kintamani ,Deluxe Cabin,"tempatnya bagus, tenang, nyaman.","The place is good, calm, comfortable.",Positif,Bobocabin,place good calm comfort,Positive,0.7717
9,2023-06-11 0:00:00,2023-06-12 0:00:00,2023-06-12 0:35:32,Android,1.0261686397587252e+16,Bobocabin Baturraden,Deluxe Cabin,OKOK,REASONS,Positif,Bobocabin,reason,Neutral,0.0
10,2023-05-31 0:00:00,2023-06-01 0:00:00,2023-06-11 17:54:34,iOS,1.004168550300687e+16,Bobobox Pancoran,Earth Double,Please improve staff to be more active and diligent ,Please improve staff to be more active and diligent ,Positif,Bobobox,pleas improv staff activ dilig,Neutral,0.0
10,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-11 16:02:58,iOS,1.0141686316703874e+16,Bobobox Slamet Riyadi Solo,Sky Double,nice,nice,Positif,Bobobox,nice,Positive,0.4215
9,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 15:30:00,Android,1.0241685981041876e+16,Bobocabin Puncak Gunung Mas,Deluxe Cabin,"Semuanya enak dari kamar dan suasananya + pelayananya mantap ramah"" Semua.  Minus tidak ada TV dan kaca di dalam kamar ❤  Next bakal balik lagi. Sukses terus bobocabin","Everything is delicious from the room and the atmosphere + the servant is great ""all. Minus there is no TV and glass in the room ❤ Next will come back again. Success continues Bobocabin",Positif,Bobocabin,everyth delici room atmospher servant great minu tv glass room next come back success continu bobocabin,Positive,0.8316
9,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 13:13:53,Android,1.0271684980744618e+16,Bobocabin Padusan,Deluxe Cabin,Lebih dijaga kebersihannya,More maintained its cleanliness,Positif,Bobocabin,maintain cleanli,Neutral,0.0
9,2023-05-11 0:00:00,2023-05-12 0:00:00,2023-06-11 8:58:00,iOS,1.009168379841566e+16,Bobobox Kota Lama,Earth Double,love this place,love this place,Positif,Bobobox,love place,Positive,0.6369
10,2023-05-29 0:00:00,2023-05-30 0:00:00,2023-06-11 8:57:37,iOS,1.009168535677266e+16,Bobobox Kota Lama,Earth Double,recommended,recommended,Positif,Bobobox,recommend,Positive,0.3612
8,2023-06-09 0:00:00,2023-06-10 0:00:00,2023-06-11 7:08:50,Android,1.000168550227432e+16,Bobobox Paskal,Sky Double,"Colokan tuk charger hp hanya ada 1 colokan di pod 27 kamar sky double. Tuk lainnya sih aman, bersih, nyaman.","Plugs for HP charger there is only 1 plug on POD 27 Sky Double Rooms. The others are safe, clean, comfortable.",Positif,Bobobox,plug hp charger plug pod sky doubl room other safe clean comfort,Positive,0.7964
10,2023-06-10 0:00:00,2023-06-11 0:00:00,2023-06-11 7:07:06,Android,1.0071685499274712e+16,Bobobox Alun-Alun Bandung,Sky Double,"Stop kontak tuk charger hp agak error di pod 35, mohon diperbaiki. Makasih tuk lainnya bagus & nyaman.","Stop contacts for the HP charger a little error in POD 35, please fix it. Thanks for others good & comfortable.",Positif,Bobobox,stop contact hp charger littl error pod pleas fix thank other good comfort,Positive,0.4588
10,2023-06-01 0:00:00,2023-06-02 0:00:00,2023-06-11 7:04:13,iOS,1.0181685609725124e+16,Bobobox Mega Bekasi,Sky Double,goodjob,goodjob,Positif,Bobobox,goodjob,Neutral,0.0
