source,review_id,user_name,review_title,review_description,review_description_en,rating,thumbs_up,review_date,review_sentiment
Google Play,f489e856-5d12-48a8-b36e-80d7c6d403ab,Yayu Nur afianti,,nyaman,comfortable,5,0,2023-12-02 15:10:04,Positif
Google Play,d08ca1e1-9365-44f3-a92f-e5171015bcec,Aisyah Idrus,,Best aplikasi untuk penginapan yg terupdate dan tercocok untuk anak2 muda yg suka dengan desain2 kamar yg unik,Best Applications for updated and shocked lodging for young people who like unique room designs,5,0,2023-12-01 8:48:57,Positif
Google Play,2afe99a1-e743-4075-94bf-d510468abb13,Lodwyik Nico,,"i got error, when click use voucher failed i cant redeem point","I Got Error, When Click Use Voucher Failed I Cant Redeem Point",5,0,2023-11-30 19:18:34,Positif
Google Play,4b2551f6-a692-4af3-b597-b18dd5dab5f2,Dwi Budi Winarno,,loyal friend when traveling solo,Loyal friend when traveling solo,5,0,2023-11-27 9:49:01,Positif
Google Play,a7af8a72-fa4a-4379-8e79-5dfd323caf24,Athariq Zhafari Aufar,,absolute beauty.,Absolute Beauty.,5,0,2023-11-13 14:23:18,Positif
Google Play,0087a87b-4fe3-4e29-9526-78858ad42fb0,Wiwik Haryanti,,selalu happy staycation dsini.. terima kasih Bobocabin 😍,Always happy staycation dsini .. thank you bobocabin 😍,5,0,2023-11-12 10:27:33,Positif
Google Play,39d24c83-a09b-40c6-8ab2-36c4f4c78338,Asri Dj,,was a great experience. love all the staff their was nice and helpful,was a great experience. love all the staff their was nice and helpful,5,0,2023-10-29 20:22:34,Positif
Google Play,bcc44943-2b50-4748-bd51-65acbd87f356,Dodik Prasetyo,,suitable for backpackers,suitable for backpackers,5,0,2023-10-28 19:56:27,Positif
Google Play,e5473c20-a835-4289-91d9-a74edb26dee5,Mohammed bahaj,,exellant,Exellant,5,0,2023-10-26 18:16:54,Positif
Google Play,04b661e4-e5e7-45c8-bc80-79059e936b05,adho alessandro,,Nice experience,Nice experience,5,0,2023-10-21 8:30:15,Positif
Google Play,80e160c2-6667-46e9-a256-3efc9e9980ee,Liong Yenni,,Good option for healing and glamping whatever it called! Nature and modern life blended into one experience.,Good option for healing and glamping whatever it called! Nature and Modern Life Blended into One Experience.,5,0,2023-10-14 13:53:26,Positif
Google Play,c55e6933-e1ff-425f-910b-4404f9c7dd17,Imam,,Masih pake peduli lindungi / satu hati disaat yang lain kaya KAI udh losdol. Norak ah Bobobox.,Still using care to protect / one heart when the other is like Kai Udh Losdol. Tacky ah bobobox.,1,0,2023-10-13 23:01:26,Negatif
Google Play,8cff6cbd-5a2e-4d3e-9640-4e86636c0208,klepto coccus,,"Tidak bisa dibuka, ada error lucky patcher detected, padahal ga ada sama sekali","Cannot be opened, there is a Lucky Patcher Detected error, even though there is no",1,0,2023-10-11 9:37:50,Negatif
Google Play,fcbe2aa1-f7c2-4105-a6e8-9d117a29e809,lia nathalia,,"Don't register with email address, it's hard. It's not user friendly and the system is not friendly for travelers","Don't register with email address, it's hard. It's not user friendly and the system is not friendly for travelers",1,2,2023-10-05 8:58:57,Negatif
Google Play,d89f7133-760e-4c5b-ad20-c4d06aa0e406,Andita Tiara Ayuningtyas,,Easy to use,Easy to use,5,0,2023-10-03 6:25:31,Positif
Google Play,1f1daab0-2471-4585-a292-f8bc5dbb14a3,Yunus Abdussalam,,good place,Good Place,4,0,2023-09-29 11:29:49,Negatif
Google Play,8b9fed77-7e84-4bd3-90c5-4cd277214599,ALAM GAOS,,asyiiikkk banget sensasi bermalam di hutan pinus.,Asyiiikkk is really sensation overnight in the pine forest.,5,0,2023-09-24 10:51:11,Positif
Google Play,00d6215c-6da9-474a-8392-08c735745681,Esty Yuliana,,"saya tidak bisa membuka aplikasi, hanya blank, sudah di re-install masih tetap seperti itu, kenapa ya? mohon pencerahannya. mudah2an bisa untuk android 12, selama ini saya tidak ada masalah, ketika mau booking lagi, aplikasinya blank, tidak bisa dibuka.","I can't open the application, only blank, already re-installed still like that, why? please enlightenment. Hopefully it can be for Android 12, so far I have no problem, when I want to book again, the application is blank, cannot be opened.",4,0,2023-09-20 10:05:34,Negatif
Google Play,d3fe6d5f-be4b-4db3-aa2c-015f1667b04c,Nadia Simanjuntak,,semua nya sesuai dengan kenyamanan,everything according to comfort,5,0,2023-09-09 10:03:18,Positif
Google Play,f242f975-f86a-4115-ae70-a5d9de78e4c1,Lady Stardust,,"Good place to stay with amenities. I use Bobobox. It's cozy, good environment to sleep. The public bathroom is clean. Has hair dryer although without hot water. Will visit again.","Good place to stay with amenities. I use Bobobox. It's cozy, good environment to sleep. The Public Bathroom is Clean. Ar's hair dryer althouh without hot water. Will Visit Again.",5,0,2023-09-08 12:31:05,Positif
Google Play,776aef35-b6ab-4c0d-a3a2-f8990dcfd7b4,annisa khoirunazmi,,Very affordable and very nice place 😍 bobocabin is suuuuupppeeeeerrrr cozy untuk healing 👍,Very affordable and very nice place 😍 Bobocabin is suuuuupppeeeeeeerrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrian,5,1,2023-09-05 13:30:05,Positif
Google Play,526fbe99-91d5-4a65-b0be-f47ac526f352,Seiryu,,Aplikasi yang cukup mudah digunakan dan menjalankan fungsinya dengan baik,Applications that are quite easy to use and carry out their functions well,5,0,2023-09-03 16:12:59,Positif
Google Play,b5dc9149-3ea0-4ade-b96b-4ffbae3af535,EM,,Aplikasi bug eror,ERROR BUG APPLICATION,1,0,2023-08-30 18:51:28,Negatif
Google Play,ab5764d4-9868-4757-86eb-90dbe165baff,Yosua,,good stuff the app is nice,good stuff the app is nice,4,0,2023-08-29 10:35:06,Negatif
Google Play,84b5dffc-02d2-4cd8-957c-e739ed358020,Vawensa Adipratama (Adi Wensa),,hotel kapsul/box indonesia nyaman dan aman fasilitasnya.,Indonesian capsule/box hotel is comfortable and safe.,5,0,2023-08-28 10:54:19,Positif
Google Play,28352c01-ed42-4561-a7ec-a711a0ce600f,Puty Naulita,,easy to use app,Easy to Use App,5,0,2023-08-26 16:20:06,Positif
Google Play,42d4743a-f32d-4b50-86cf-19c1858d9587,steven marheinz,,wonderful experience,Wonderful Experience,5,0,2023-08-17 13:52:47,Positif
Google Play,50558edc-a8ae-47e7-9070-2f26b5a00fd3,Anton Setiawan,,"this app forced user to enable notification permission, and unable to start without permission","This App Forced User To Enable Notification Permission, and Unable to Start Without Permission",1,1,2023-08-06 21:58:55,Negatif
Google Play,b54f4403-d538-478a-bf02-09d326cf7618,Andreas anto,,Terdapat harga dan promo menarik.,There are prices and attractive promos.,5,0,2023-08-02 1:30:53,Positif
Google Play,d474323b-6661-4e91-aefa-810e2954ef4c,Dennizal Andriansyah,,I like it,I like it,5,0,2023-07-31 10:50:40,Positif
Google Play,a706b396-590b-468d-962d-ae55717e8686,Rifki Dya,,"For app: simple and nice app. Mungkin butuh cari cara supaya ngga bolak balik scan QR lewat aplikasi karena harus buka app terus menerus. For place: enak dan luas untuk ukuran kasurnya dalam pod nya itu. kamar mandi bersih, pantry bagus dan ada microwave. Worth the price","For App: Simple and Nice App. Maybe you need to find a way so that you don't go back and forth scan QR through the application because you have to open the app continuously. For place: tasty and broad for the size of the mattress in the pod. The bathroom is clean, pantry is good and there is a microwave. Worth the price",5,0,2023-07-30 11:28:14,Positif
Google Play,9934be7e-db53-48e0-a6ce-abafa114ae6a,Shinta Noviar,,awesome!,Awesome!,5,0,2023-07-19 15:47:07,Positif
Google Play,fe20c592-44df-4e98-a7b5-d62064fbdc42,Joeyz Sunshine,,always 🥰🥰👍🏻👍🏻🎉🎉👌👌👏🏻👏🏻love staying in Bobobox anywhere in Indonesia big cities.. amazing service great stay👍🏻👍🏻👍🏻,Always 🥰🥰👍🏻👍🏻🎉🎉👌👌👏🏻👏🏻Llay Staying in Bobobox Anywhere in Indonesia Big Cities .. Amazing Service Great stay.,5,1,2023-07-19 12:09:13,Positif
Google Play,3d1065eb-a8ba-4c6b-a786-28b207cef1bf,Siva Alawiyah Budiani,,most recomended cabinbox you should stay!,Most Recommended Cabinbox You Should Stay!,5,0,2023-07-12 11:14:26,Positif
Google Play,35fdb247-d566-415e-843a-6ab92032f389,Paulus Bimo Wicaksono,,tempat yang bagus untuk istirahat malam,A good place to rest the night,5,0,2023-07-10 21:45:15,Positif
Google Play,d9f83b53-d5b8-4299-be65-96ae1d9b917a,Reyhan Ivandi,,"Overall secara app dan pengalaman menginap memuaskan, IoTnya keren, BPads di dalam kamar unpexcted ada juga musiknya, bisa connect bluetooth. Thanks bobobox!","Overall in the app and the experience of staying satisfying, the IoT is cool, the BPADS in the Unpexcted room is also the music, it can connect Bluetooth. Thanks Bobobox!",5,0,2023-06-27 10:45:01,Positif
Google Play,be4da22f-7f99-47a6-bfb5-35bd3dcb9aaf,Irin Ahastari,,Kok ga ada fitur nearby sih,How come there is no nearby feature,2,0,2023-06-22 0:47:32,Negatif
Google Play,1dac5a50-12ec-4379-aa41-3ea5a69dd1b3,Iqbal Anwar,,Cobain ajaa deh pokonya gaeess. Se-worth it itu soalnyaa 🤩🤩,Just try the pokonya gaeess. SE-WORTH it is the problem 🤩🤩,5,0,2023-06-14 11:53:49,Positif
Google Play,5d8d2a3a-9c6a-403e-ad25-b1969b829a52,zulkarnain “zulkarnain” ari,,mantap markotop,great markotop,5,0,2023-06-13 2:13:14,Positif
Google Play,fe4baa96-3df7-46d4-91c7-f85d4b8d7098,ady saputra,,"Pada update terbaru saat reservasi sering dapet notif tidak bisa konek internet dengan menggunakan wifi/tsel, padahal aplikasi lain normal, mohon dicek 🙏","In the latest updates when reservations often get notifs can not connect internet using WiFi/Tsel, even though other applications are normal, please check 🙏",3,0,2023-06-08 14:39:25,Netral
Google Play,019f47d5-324a-494d-b082-109bb4c4df2e,zue cell,,"di aplikasi canceling nya lama banget ya. ujung2 eror. musti close apk , baru booking lagi.","In the cancer application, it's been a long time. Error ends. You have to close apk, just book again.",3,0,2023-06-08 13:58:41,Netral
Google Play,dc99ff2c-ab51-4a33-95e4-204c33fcffc0,Hidayat Gautama,,Can't find hostel at Martapura. Can't write specific location at search box. Uninstall.,Can't find hostel at Martapura. Can't write specific location at search box. Uninstall.,3,0,2023-06-08 4:24:32,Netral
Google Play,a8c9f876-ad76-4a9a-ac6b-7dbbb9129caa,Hafid kiagoes,,bobobox perfectly for bobo,Bobobox Perfectly for Bobo,5,0,2023-06-05 19:22:36,Positif
Google Play,c02b04d8-4520-466e-b97c-477b6c7037f6,Chrisna Cadaz,,"good apps, very helpfull","good apps, very helpful",5,0,2023-05-27 11:07:03,Positif
Google Play,5e904ac9-334a-451f-b623-f59d99cb6d65,Diannita Essa,,Harga mahal ga ngotak,The price is expensive,2,0,2023-05-26 21:02:47,Negatif
Google Play,54bc0cae-991b-422f-87a6-3e687d4871f9,Raph Lestari,,Very recommended,Very recommended,5,0,2023-05-26 11:10:08,Positif
Google Play,9ba21396-2fb8-4d9c-a384-2cad35f7c851,Charlie Prawiro,,new experience here!! thank u bobo cabin,New Experience here !! thank u bobo cabin,4,0,2023-05-19 11:57:24,Negatif
Google Play,603c2d71-63ac-4cb9-a589-71a49eebcf57,Edward Flughafen,,good service,good service,4,0,2023-05-19 10:45:58,Negatif
Google Play,dc604bc1-3467-432f-a0e9-81b3bb0245c9,Faudzan Fadhli,,"Abis update, aplikasi gabisa dibuka","After updating, the Gabisa application is opened",3,0,2023-05-15 14:19:46,Netral
Google Play,c4bfe6f4-70b2-4206-af69-e6f39d8b5534,Ali Qornan,,Force close when choosing service,Force Close When Choosing Service,2,0,2023-05-11 14:49:35,Negatif
Google Play,79d344d2-955d-48c6-9317-d35a7b96a029,Ignatius Raditya,,Can you not releasing an app that doesn't work at all on Android 13??? I can not login now ffs,Can you not relaxing an app that doesn't work at all on Android 13 ??? I can not login now ffs,1,19,2023-05-08 16:36:53,Negatif
